No.,日付,テーマ,正解,キーワード,解説
1,月・火,フィデューシャリーデューティー,②,受託者責任,フィデューシャリー（fiduciary）は「受託者」の意味。顧客から信頼を受けた者が顧客の最善の利益のために行動する義務。自社利益ではなく顧客利益を最優先にすることがFDの核心。
2,月・火,フィデューシャリーデューティー,③,2017年・プリンシプルベース,2017年に金融庁が策定。プリンシプルベース（原則主義）のアプローチを採用。細かいルールではなく「原則」を示し各社が主体的に実践する。
3,月・火,フィデューシャリーデューティー,②,利益相反管理,自社の手数料収入と顧客の利益が相反する状況を適切に管理することが「利益相反管理」の典型例。手数料の高い商品を優先することは利益相反に当たる。
4,月・火,フィデューシャリーデューティー,②,プリンシプルベース vs ルールベース,プリンシプルベース（原則主義）は高い水準の原則を示し各社が創意工夫を発揮することを期待する方式。対義語はルールベース（規則主義）。詳細な条文で縛らない点が特徴。
5,月・火,フィデューシャリーデューティー,②,7原則・情報提供,7原則の一つは「分かりやすい情報提供」。リスク排除・元本保証・手数料無償化は原則に含まれない。顧客が判断できるよう情報をわかりやすく提示することが求められる。
6,水,KYC・顧客情報収集,②,KYC・適合性原則,KYCは「顧客を知る」こと。氏名・投資目的・投資経験・リスク許容度など顧客の属性と意向を把握し適合した提案をするために行う。FDと密接に関連。
7,水,KYC・顧客情報収集,④,リスク許容度の規定要因,リスク許容度は顧客自身の属性（年齢・収入・資産・家族構成・投資経験・投資目的）によって決まる。担当コンサルタントの経験は顧客のリスク許容度に影響しない。
8,水,KYC・顧客情報収集,②,適合性の原則（Suitability）,適合性の原則とは顧客の投資経験・目的・財務状況・リスク許容度に合致した商品・サービスのみを推奨する義務。FDの実践の一部を構成する。
9,水,KYC・顧客情報収集,①,ライフプランニング5ステップ,基本フロー：①目標設定（ゴール明確化）→②情報収集（家計・資産・ニーズ把握）→③プラン策定→④実行→⑤継続的見直し。ゴールベース資産管理のプロセスと重なる。
10,水,KYC・顧客情報収集,②,ライフイベントと情報更新,結婚・離婚・出産・退職・相続などのライフイベントはリスク許容度・投資目的・資産状況を大きく変化させる。これらのタイミングで顧客情報の更新が必要。
