日付,テーマ,No.,問題文,選択肢①,選択肢②,選択肢③,選択肢④
月・火,フィデューシャリーデューティー,1,フィデューシャリーデューティー（FD）の説明として最も適切なものはどれか？,金融機関が自社の利益を最大化するための義務,顧客の最善の利益を最優先に考えた行動義務（受託者責任）,規制当局への報告義務,株主への利益還元義務
月・火,フィデューシャリーデューティー,2,金融庁が「顧客本位の業務運営に関する原則」を策定した年はいつか？,2010年,2014年,2017年,2020年
月・火,フィデューシャリーデューティー,3,顧客本位の7原則のうち「利益相反の適切な管理」に該当する具体例はどれか？,顧客の年齢に合わせた商品を選ぶこと,販売手数料の高い商品を優先して販売していないか管理すること,顧客に毎月レポートを送ること,投資信託の基準価額を毎日確認すること
月・火,フィデューシャリーデューティー,4,プリンシプルベースアプローチの特徴として正しいものはどれか？,法律で細かいルールを定め逸脱した場合に罰則を与える方式,高い水準の原則を示し金融機関が主体的に解釈・実践する方式,規制当局が個別に指導・監督する方式,業界団体が設けた自主ガイドライン
月・火,フィデューシャリーデューティー,5,顧客本位の業務運営の7原則に含まれるものはどれか？,リスクの完全排除,重要情報のわかりやすい提供,投資元本の保証,販売手数料の無償化
水,KYC・顧客情報収集,6,KYC（Know Your Customer）の主な目的として最も適切なものはどれか？,顧客の投資収益を最大化すること,顧客の属性・意向を把握し適切な提案をすること,金融機関の収益を確保すること,規制当局への報告書を作成すること
水,KYC・顧客情報収集,7,ライフプランニングにおける「リスク許容度」に影響する要因として最も関係が薄いものはどれか？,年齢・投資時間軸,収入・資産規模,家族構成・扶養状況,担当コンサルタントの投資経験
水,KYC・顧客情報収集,8,適合性の原則（Suitability）の説明として正しいものはどれか？,全顧客に同じ商品を推奨すること,顧客の属性・意向・知識経験に合った商品のみを推奨すること,リスクの高い商品を優先して勧めること,顧客が希望する商品は必ず提供すること
水,KYC・顧客情報収集,9,ライフプランニングのプロセスとして正しい順序はどれか？,目標設定→情報収集→プラン策定→実行→見直し,情報収集→実行→目標設定→プラン策定→見直し,実行→情報収集→目標設定→プラン策定→見直し,プラン策定→情報収集→目標設定→実行→見直し
水,KYC・顧客情報収集,10,顧客情報の更新が特に重要となるライフイベントはどれか？,株式相場の変動,結婚・離婚・退職・相続などの家族・財産状況の変化,競合他社の商品ラインナップの変化,コンサルタント自身の人事異動
木,NISA・iDeCo・税制,11,2024年からの新NISAにおける「成長投資枠」の年間非課税投資上限はいくらか？,40万円,120万円,240万円,360万円
木,NISA・iDeCo・税制,12,iDeCo（個人型確定拠出年金）の特徴として正しいものはどれか？,運用益は課税される,受給時は全額非課税,掛金は全額所得控除の対象,60歳以前でも自由に解約できる
木,NISA・iDeCo・税制,13,NISAの非課税対象として正しいものはどれか？,配当金・分配金・売却益,売却損の繰越控除,外国税額控除,相続税の計算上の特例
木,NISA・iDeCo・税制,14,特定口座（源泉徴収あり）の特徴として最も正しいものはどれか？,確定申告が必要,金融機関が損益計算・納税を代行するため確定申告不要,損失の繰越控除ができない,法人のみ開設できる
木,NISA・iDeCo・税制,15,ESG投資の「E・S・G」が表すものとして正しい組み合わせはどれか？,利益・安全・成長,環境・社会・企業統治,経済・社会・ガバナンス,効率・持続可能・成長
金,行動経済学,16,「損失回避バイアス」の説明として最も適切なものはどれか？,損失が生じたときに直ちに損切りする合理的な傾向,同額の利益より損失の方が約2倍強く感じられる心理傾向,リスクを完全に回避しようとする傾向,過去の損失を取り戻すため積極的にリスクを取る傾向
金,行動経済学,17,「アンカリング効果」の説明として正しいものはどれか？,最初に提示された数値・情報が判断の基準（錨）になる傾向,多数派の意見に無意識に影響される傾向,成功体験を必要以上に重視する傾向,損失を実現させないよう行動する傾向
金,行動経済学,18,「確証バイアス」の説明として最も適切なものはどれか？,自分の既存の信念を確認する情報のみを重視する傾向,専門家の意見を無条件に信じる傾向,リスクを過小評価する傾向,新しい情報を古い情報より重視する傾向
金,行動経済学,19,ナッジ理論の説明として正しいものはどれか？,規制や罰則で人の行動を強制的に変える手法,強制せずに選択環境をデザインすることで望ましい行動を促す手法,高い報酬を与えることで行動変容を促す手法,専門家による徹底した教育・訓練で行動を変える手法
金,行動経済学,20,「メンタルアカウンティング（心的会計）」の説明として最も正しいものはどれか？,お金を機能や出所によって心の中で別々に区分し非合理な意思決定をする傾向,会計上の利益を最大化しようとする経営判断,投資における分散効果を心理的に評価する傾向,将来の収益を現在価値に換算して判断する傾向
土,ゴールベース資産管理,21,ゴールベース資産管理の特徴として最も適切なものはどれか？,市場平均を上回るリターンを追求すること,顧客の具体的なライフゴールを中心に資産配分・運用計画を立てること,リスクをゼロにして安全に資産を増やすこと,短期的な市場変動を活用して利益を得ること
土,ゴールベース資産管理,22,ゴールベース資産管理における「必達ゴール（need）」の説明として正しいものはどれか？,豪華旅行など未達でも致命的でない目標,老後生活費など必ず達成すべき目標で低リスク運用が適切,株式投資で高リターンを狙う積極的な目標,5年以内に達成すべき短期目標
土,ゴールベース資産管理,23,ゴールベース資産管理のプロセスとして正しい順序はどれか？,ゴール設定→投資選択・実行→実現シナリオ設定→継続的レビュー,ゴール設定→実現シナリオ設定（優先順位付け）→投資選択・実行→継続的レビュー,実現シナリオ設定→ゴール設定→継続的レビュー→投資選択・実行,投資選択・実行→ゴール設定→実現シナリオ設定→継続的レビュー
土,ゴールベース資産管理,24,ファンドラップの説明として最も正しいものはどれか？,個別株式の短期売買を繰り返す投機的サービス,複数の投資信託を一括管理する投資一任サービス,元本保証付きの定期預金型商品,株式と債券を1対1で保有する標準ポートフォリオ
